found_id,user_id,category_id,item_name,description,location,date_found,expiry_date,status,admin_action,admin_note,created_at
68,14,10,Wristwatch,Sunglasses found near the parking area,City University of Science and IT,2026-03-03,2026-04-02,verified,,,2026-05-05 12:06:29
69,32,5,Purse,Brown leather wallet with some cash inside found on floor,Hayatabad Phase 6,2026-02-24,2026-03-16,expired,sent_to_authority,Given to nearby mosque for safekeeping,2026-03-13 04:10:30
70,59,6,Motorcycle Keys,Motorcycle keys with remote found near the parking area,Namak Mandi,2026-03-16,2026-03-31,returned,,,2026-04-03 04:58:39
71,40,10,Sunglasses,Black wristwatch found on the bench,CECOS University Peshawar,2026-03-02,2026-04-01,returned,,,2026-04-23 17:05:34
72,58,6,Key Bundle,Office keys with tag found near the reception,Mahabat Khan Mosque,2025-12-01,2025-12-16,returned,,,2026-03-23 18:39:11
73,39,10,Sunglasses,Sunglasses found near the parking area,Lady Reading Hospital,2026-04-02,2026-05-02,verified,,,2026-04-08 09:49:59
74,54,3,Mobile Phone,Samsung phone with blue cover found on the floor,Dabgari Gardens,2025-11-29,2026-01-13,returned,,,2025-12-23 07:56:42
75,44,12,Mark Sheet,Mark sheet found near the library entrance,Mahabat Khan Mosque,2026-02-19,2026-03-01,verified,,,2026-04-30 06:47:17
76,13,8,Stationery Pouch,Drawing file with papers found near the gate,Rehman Medical Institute,2026-03-21,2026-04-10,expired,destroyed,Item was destroyed as it had no further use,2026-03-21 16:21:45
77,36,5,Purse,Black wallet found near the reception counter,Firdous Bazaar,2026-03-19,2026-04-08,returned,,,2026-04-24 17:19:38
78,60,10,Reading Glasses,Sunglasses found near the parking area,Pakistan Railway Hospital,2026-05-07,2026-06-06,verified,,,2026-05-09 19:02:40
79,16,15,Tiffin Box,Water bottle found near the bench outside,Institute of Management Sciences Peshawar,2026-04-01,2026-05-01,expired,sent_to_authority,Given to nearby mosque for safekeeping,2026-04-03 04:55:59
80,25,4,Acer Laptop,Laptop with stickers found in the classroom,Hayatabad Phase 5,2026-04-20,2026-06-19,verified,,,2026-05-10 01:34:18
81,5,10,Wristwatch,Reading glasses found near the prayer area,Hayatabad Phase 4,2025-11-18,2025-12-18,verified,,,2026-05-03 06:35:39
82,22,4,Dell Laptop,Dell laptop in black bag found near the library,Hayatabad Sports Complex,2025-11-18,2026-01-17,verified,,,2026-05-04 05:48:41
83,55,1,National ID Card,Old CNIC card found in a plastic cover near the gate,Hayatabad Phase 2,2026-01-13,2026-01-23,expired,sent_to_authority,Handed over to the concerned department,2026-03-12 21:31:59
84,30,6,Key Bundle,Office keys with tag found near the reception,Rehman Medical Institute,2026-04-10,2026-04-25,returned,,,2026-05-13 07:56:54
85,3,11,Gold Necklace,Gold ring found near the washroom entrance,Gulbahar No. 1,2025-12-03,2026-01-17,returned,,,2026-03-10 17:59:05
86,3,4,Laptop,Laptop with stickers found in the classroom,Hayatabad Phase 4,2026-01-29,2026-03-30,expired,sent_to_authority,Given to nearby mosque for safekeeping,2026-03-10 11:01:23
87,45,14,HBL Card,UBL credit card found near the reception counter,Masjid Qasim Ali Khan,2025-11-22,2025-12-02,expired,sent_to_authority,Donated to a local charity after expiry,2026-01-09 22:10:08
88,56,3,Samsung Phone,Android phone found switched off near the washroom,Islamia College University,2026-02-05,2026-03-22,verified,,,2026-03-01 04:47:06
89,57,12,Birth Certificate,Degree certificate in folder found near the office,Eidgah Mosque Peshawar,2026-04-05,2026-04-15,verified,,,2026-05-05 01:55:05
90,46,11,Gold Ring,Silver bracelet found on the floor near counter,Hayatabad Phase 5,2026-03-10,2026-04-24,expired,destroyed,Item was not claimed within the allowed time period,2026-03-18 03:11:55
91,42,11,Gold Chain,Pair of gold earrings found near the chair,Hayatabad Sports Complex,2026-01-11,2026-02-25,verified,,,2026-02-12 02:36:59
92,8,9,Shalwar Kameez,Black jacket left on a chair inside the hall,Khyber Teaching Hospital,2026-04-19,2026-05-14,verified,,,2026-05-12 02:25:32
93,43,11,Gold Ring,Gold necklace found near the main entrance,Karkhano Market,2026-03-20,2026-05-04,verified,,,2026-04-02 18:45:36
94,33,10,Sunglasses,Black wristwatch found on the bench,Naseer Teaching Hospital,2026-02-01,2026-03-03,verified,,,2026-04-30 01:57:25
95,52,11,Silver Bracelet,Gold ring found near the washroom entrance,Gulbahar No. 3,2026-04-22,2026-06-06,pending,,,2026-04-28 23:46:40
96,56,5,Purse,Gents wallet with visiting cards found near entrance,Shahi Bagh Park,2026-01-18,2026-02-07,expired,destroyed,Sent to the relevant authority as per policy,2026-02-03 15:10:43
97,22,8,Drawing File,Notebook with detailed notes found on the bench,Khyber Bazaar,2026-03-27,2026-04-16,expired,destroyed,Sent to the relevant authority as per policy,2026-05-01 04:28:32
98,17,6,House Keys,Office keys with tag found near the reception,Meena Bazaar,2026-01-03,2026-01-18,verified,,,2026-01-12 04:58:18
99,12,6,House Keys,Motorcycle keys with remote found near the parking area,Gulbahar No. 1,2025-12-16,2025-12-31,returned,,,2026-04-12 14:25:54
100,51,15,Prayer Beads,Thermos flask found near the seating area,Jamia Masjid Gulbahar,2026-04-11,2026-05-11,returned,,,2026-04-28 14:06:32
