lost_id,user_id,category_id,item_name,description,location,date_lost,status,created_at
39,19,15,Lunch Box,Black umbrella found near the main entrance,Gulbahar No. 3,2025-12-19,returned,2026-02-19 01:48:07
40,52,5,Leather Wallet,Black wallet found near the reception counter,Palosi Market,2025-12-02,returned,2025-12-20 22:03:48
41,42,9,Sweater,Brown shawl left on the bench near the entrance,Edwardes College Peshawar,2025-12-30,verified,2026-03-18 00:51:08
42,30,8,Drawing File,Drawing file with papers found near the gate,Government College of Science Peshawar,2026-02-25,pending,2026-04-28 17:58:24
43,30,9,Shalwar Kameez,Green scarf found near the reception area,Institute of Management Sciences Peshawar,2026-01-11,verified,2026-05-03 05:35:19
44,55,5,Purse,Gents wallet with visiting cards found near entrance,Gulbahar No. 3,2026-02-27,pending,2026-04-09 05:49:50
45,18,10,Reading Glasses,Black wristwatch found on the bench,University of Peshawar,2026-03-09,pending,2026-03-22 01:16:11
46,48,6,Car Keys,Motorcycle keys with remote found near the parking area,Islamia College University,2026-02-03,verified,2026-02-22 05:54:53
47,53,3,Samsung Phone,iPhone with cracked screen found on the seat,Wazir Bagh,2026-03-30,verified,2026-03-31 10:25:13
48,39,15,Water Bottle,Prayer beads found near the mosque area,Wazir Bagh,2026-02-10,returned,2026-04-10 08:29:44
49,49,5,Ladies Purse,Gents wallet with visiting cards found near entrance,University of Peshawar,2025-12-07,pending,2026-02-27 03:15:41
50,6,9,Waistcoat,Woolen cap found near the main gate,Edwardes College Peshawar,2026-04-17,pending,2026-04-19 11:09:53
51,59,10,Sunglasses,Sunglasses found near the parking area,Sunehri Masjid,2026-04-16,pending,2026-04-19 18:13:37
52,25,4,HP Laptop,Lenovo laptop found near the canteen area,Pakistan Railway Hospital,2025-11-19,returned,2026-03-22 14:44:28
53,33,6,House Keys,Office keys with tag found near the reception,Khyber Teaching Hospital,2026-03-01,verified,2026-03-17 00:29:56
54,53,5,Leather Wallet,Wallet with cash and CNIC found near the gate,Northwest General Hospital,2025-12-06,verified,2026-04-18 08:45:18
55,28,7,Backpack,Shoulder bag with clothes inside found near entrance,Qissa Khwani Bazaar,2026-02-01,pending,2026-02-15 05:07:01
56,40,8,Notebook,Drawing file with papers found near the gate,Hayatabad Phase 1,2026-02-08,returned,2026-03-29 22:00:52
57,43,5,Gents Wallet,Black wallet found near the reception counter,Islamia College University,2026-05-02,pending,2026-05-02 12:06:42
58,37,3,Android Phone,Vivo phone found near the charging point,Firdous Bazaar,2026-02-23,verified,2026-05-15 12:08:50
59,23,5,Ladies Purse,Black wallet found near the reception counter,Khyber Medical University,2026-03-23,pending,2026-05-14 07:08:37
60,25,4,HP Laptop,Laptop with stickers found in the classroom,Chowk Yadgar Bazaar,2025-11-20,verified,2026-01-31 11:32:38
61,56,2,College ID Card,ID card found near the classroom door,Namak Mandi,2026-04-12,returned,2026-04-19 17:47:13
62,60,10,Spectacles,Spectacles in hard case found on the table,Abasyn University Peshawar,2026-01-16,returned,2026-03-22 13:07:16
63,10,12,Domicile Certificate,Domicile certificate found near the main counter,Khyber Medical University,2026-01-17,pending,2026-02-13 00:01:31
64,15,14,Debit Card,Meezan Bank debit card found on the floor,Jamia Masjid Gulbahar,2026-04-26,returned,2026-05-11 01:24:01
65,16,11,Silver Bracelet,Silver bracelet found on the floor near counter,Peshawar Cantonment Railway Station,2026-02-15,pending,2026-03-06 10:37:01
66,18,4,HP Laptop,Laptop with stickers found in the classroom,Hayatabad Sports Complex,2025-12-30,verified,2026-04-12 15:48:14
67,14,6,House Keys,Bundle of keys with keychain found on the floor,Tehkal Market,2026-04-12,pending,2026-04-30 08:56:52
68,52,4,Laptop,Acer laptop found near the main gate in a bag,Khyber Teaching Hospital,2026-02-05,pending,2026-04-09 06:04:43
69,3,3,Samsung Phone,Samsung phone with blue cover found on the floor,Hayatabad Phase 2,2026-05-04,pending,2026-05-09 11:36:50
70,4,14,UBL Card,ATM card found near the main entrance of the building,Qissa Khwani Bazaar,2026-03-08,verified,2026-03-21 20:11:45
71,12,2,College ID Card,University card found on a bench near the library,Hayatabad Phase 5,2026-01-07,returned,2026-03-25 08:55:31
72,38,15,Thermos,Water bottle found near the bench outside,CECOS University Peshawar,2026-05-07,returned,2026-05-12 23:15:19
73,38,11,Gold Ring,Gold bangle found near the prayer area,Iqbal Park Peshawar,2025-11-18,pending,2026-02-24 02:12:43
74,11,14,Credit Card,Meezan Bank debit card found on the floor,Islamia College University,2026-02-10,pending,2026-04-25 15:54:32
75,48,6,Key Bundle,Car keys found on the bench near the entrance,Mahabat Khan Mosque,2026-02-01,returned,2026-05-07 06:47:13
76,20,1,CNIC,Computerized ID card found near the reception area,Dabgari Gardens,2025-12-22,pending,2025-12-24 15:39:45
77,14,14,ATM Card,ATM card found near the main entrance of the building,Firdous Bazaar,2026-01-04,pending,2026-03-26 19:07:08
78,44,11,Gold Necklace,Gold bangle found near the prayer area,Palosi Market,2025-12-08,pending,2026-02-27 09:21:45
79,42,1,Computerized ID Card,Old CNIC card found in a plastic cover near the gate,Institute of Management Sciences Peshawar,2026-05-03,pending,2026-05-13 14:30:59
80,47,1,Computerized ID Card,Old CNIC card found in a plastic cover near the gate,Peshawar Cantonment Railway Station,2026-01-10,verified,2026-01-13 07:31:11
81,18,4,Dell Laptop,Acer laptop found near the main gate in a bag,Rehman Medical Institute,2026-02-28,verified,2026-03-09 22:10:52
82,4,1,Computerized ID Card,"CNIC card found near the main entrance, belongs to a male person",Karkhano Market,2026-01-13,verified,2026-04-17 18:39:36
83,49,15,Umbrella,Water bottle found near the bench outside,Abasyn University Peshawar,2025-12-23,verified,2026-03-20 09:00:16
84,34,10,Sunglasses,Reading glasses found near the prayer area,Meena Bazaar,2026-05-02,pending,2026-05-04 03:29:24
85,59,4,Acer Laptop,Lenovo laptop found near the canteen area,Palosi Market,2025-12-18,pending,2026-02-22 08:54:02
86,49,11,Earrings,Silver bracelet found on the floor near counter,Iqbal Park Peshawar,2026-03-15,returned,2026-03-19 04:49:49
87,30,13,Data Cable,Power bank found on the seat near the entrance,Khyber Bazaar,2026-01-08,verified,2026-05-11 05:51:07
88,49,15,Water Bottle,Tiffin box with food inside found in the cafeteria,Frontier College Peshawar,2025-11-28,verified,2025-12-10 13:20:24
89,11,12,Domicile Certificate,Degree certificate in folder found near the office,Islamia College University,2026-01-27,verified,2026-05-04 23:13:39
90,11,14,ATM Card,Meezan Bank debit card found on the floor,Budni Bazaar,2026-02-03,verified,2026-04-13 03:16:13
91,50,15,Thermos,Tiffin box with food inside found in the cafeteria,Iqbal Park Peshawar,2025-12-23,returned,2026-02-26 02:08:20
92,57,15,Umbrella,Black umbrella found near the main entrance,Government College of Science Peshawar,2026-02-11,returned,2026-03-16 22:11:23
93,40,14,ATM Card,UBL credit card found near the reception counter,Qissa Khwani Bazaar,2026-03-20,pending,2026-04-07 20:12:42
94,33,2,College ID Card,Student card found in the parking area with photo visible,Tehkal Market,2026-01-18,verified,2026-03-13 21:22:01
95,3,8,Register,Notebook with detailed notes found on the bench,Edwardes College Peshawar,2025-12-11,verified,2026-03-29 18:21:26
96,60,1,Computerized ID Card,Computerized ID card found near the reception area,Pakistan Railway Hospital,2026-01-07,returned,2026-01-28 09:32:53
97,46,7,School Bag,Shoulder bag with clothes inside found near entrance,Edwardes College Peshawar,2026-02-16,returned,2026-03-24 04:34:25
98,28,7,School Bag,Shoulder bag with clothes inside found near entrance,Rehman Medical Institute,2026-01-01,pending,2026-04-22 10:39:16
99,19,3,Vivo Phone,Vivo phone found near the charging point,University of Peshawar,2025-11-25,pending,2026-01-11 05:27:56
100,20,6,Key Bundle,House keys with a green tag found near the gate,Hayatabad Phase 2,2026-03-23,returned,2026-05-15 18:31:09
